

Timestamp,"Control(before conditions)","After unethical practices identification","After brand recognition"
7/31/2025 19:43:36,5,3,2
8/4/2025 11:36:57,5,3,4
8/4/2025 11:38:22,3,2,2
8/4/2025 11:49:35,5,4,4
8/4/2025 11:53:24,5,4,3
8/4/2025 11:56:46,4,3,3
8/4/2025 12:01:32,4,3,4
8/4/2025 12:01:43,4,1,3
8/4/2025 12:11:58,4,3,3
8/4/2025 12:17:23,4,5,5
8/4/2025 12:23:19,3,2,2
8/4/2025 12:25:40,1,5,5
8/4/2025 13:03:38,2,1,2
8/4/2025 13:44:00,5,3,2
8/4/2025 13:50:27,3,1,1
8/4/2025 14:04:05,5,4,2
8/4/2025 15:26:46,3,2,3
8/4/2025 15:56:16,3,2,3
8/4/2025 19:51:35,5,3,2
8/4/2025 20:56:28,4,2,3
8/4/2025 21:54:28,2,2,2
8/5/2025 7:24:25,3,1,2
8/5/2025 8:02:50,4,2,3
8/5/2025 9:06:48,4,4,3
8/5/2025 9:10:14,3,2,2
8/5/2025 9:11:21,3,3,3
8/5/2025 10:02:53,4,3,5
8/5/2025 10:03:08,4,1,1
8/5/2025 10:06:30,4,3,4
8/5/2025 11:46:23,5,4,4
8/5/2025 12:17:51,5,5,5
8/5/2025 12:17:58,3,1,1
8/5/2025 12:18:33,3,4,4
8/5/2025 12:19:18,5,2,2
8/5/2025 12:19:39,5,3,4
8/5/2025 12:19:45,4,3,3
8/5/2025 12:19:47,5,5,5
8/5/2025 12:19:50,1,1,1
8/5/2025 12:20:42,5,3,1
8/5/2025 12:20:44,2,5,5
8/5/2025 12:22:10,4,3,3
8/5/2025 12:22:18,4,2,2
8/5/2025 12:23:28,3,1,2
8/5/2025 12:24:59,4,1,1
8/5/2025 12:27:14,1,1,1
8/5/2025 12:32:44,5,5,5
8/5/2025 12:38:53,4,2,2
8/5/2025 12:40:23,4,2,2
8/5/2025 12:40:56,5,2,2
8/5/2025 12:54:17,3,1,1
8/5/2025 13:07:35,4,3,3
8/5/2025 13:16:49,4,1,1
8/5/2025 13:22:09,1,1,1
8/5/2025 13:22:13,1,2,4
8/5/2025 14:19:38,2,1,2
8/5/2025 15:00:12,1,1,5
8/5/2025 15:41:54,5,1,2
8/5/2025 15:47:17,4,4,3
8/5/2025 17:23:51,4,3,2
8/5/2025 17:34:15,4,1,3
8/5/2025 17:40:08,3,1,1
8/5/2025 17:47:07,1,5,5
8/5/2025 18:45:21,4,4,4
8/5/2025 19:48:51,4,3,4
8/5/2025 20:10:37,5,1,3
8/5/2025 20:45:44,5,2,4
8/6/2025 5:40:25,3,4,4
8/6/2025 9:04:05,4,3,4
8/6/2025 9:04:17,4,3,4
8/6/2025 9:06:03,5,3,5
8/6/2025 9:08:51,4,3,3
8/6/2025 9:20:01,2,2,1
8/6/2025 9:58:37,4,4,3
8/6/2025 13:08:31,4,1,4
8/6/2025 19:03:06,4,3,2
8/7/2025 9:10:09,2,2,2
8/7/2025 11:14:36,3,2,2
8/7/2025 11:20:20,4,2,1
8/7/2025 20:59:45,5,3,4
8/7/2025 22:33:35,4,2,3
8/8/2025 9:05:16,5,4,5
8/8/2025 12:06:08,5,1,3
8/8/2025 22:02:36,4,2,1
8/9/2025 19:27:57,3,2,2
8/9/2025 22:22:13,4,2,2
8/10/2025 11:13:52,5,2,2
8/11/2025 9:07:49,3,3,3
8/11/2025 9:12:22,4,2,2
